centena,ocorrencias,probabilidade (%)
071,1,0,081301
072,1,0,081301
077,1,0,081301
078,1,0,081301
080,1,0,081301
088,1,0,081301
091,1,0,081301
093,1,0,081301
099,1,0,081301
105,1,0,081301
106,1,0,081301
109,1,0,081301
110,1,0,081301
114,1,0,081301
116,1,0,081301
119,1,0,081301
124,1,0,081301
127,1,0,081301
128,1,0,081301
130,1,0,081301
132,1,0,081301
134,1,0,081301
136,1,0,081301
139,1,0,081301
141,1,0,081301
143,1,0,081301
148,1,0,081301
149,1,0,081301
150,1,0,081301
152,1,0,081301
155,1,0,081301
156,1,0,081301
157,1,0,081301
159,1,0,081301
160,1,0,081301
162,1,0,081301
164,1,0,081301
167,1,0,081301
174,1,0,081301
175,1,0,081301
176,1,0,081301
179,1,0,081301
183,1,0,081301
185,1,0,081301
186,1,0,081301
189,1,0,081301
190,1,0,081301
191,1,0,081301
193,1,0,081301
197,1,0,081301
199,1,0,081301
200,1,0,081301
202,1,0,081301
208,1,0,081301
212,1,0,081301
215,1,0,081301
216,1,0,081301
219,1,0,081301
220,1,0,081301
222,1,0,081301
223,1,0,081301
224,1,0,081301
225,1,0,081301
228,1,0,081301
233,1,0,081301
234,1,0,081301
235,1,0,081301
236,1,0,081301
237,1,0,081301
243,1,0,081301
250,1,0,081301
251,1,0,081301
255,1,0,081301
256,1,0,081301
257,1,0,081301
258,1,0,081301
259,1,0,081301
260,1,0,081301
262,1,0,081301
263,1,0,081301
265,1,0,081301
266,1,0,081301
271,1,0,081301
274,1,0,081301
276,1,0,081301
277,1,0,081301
283,1,0,081301
289,1,0,081301
291,1,0,081301
292,1,0,081301
293,1,0,081301
294,1,0,081301
295,1,0,081301
298,1,0,081301
299,1,0,081301
300,1,0,081301
301,1,0,081301
302,1,0,081301
315,1,0,081301
316,1,0,081301
319,1,0,081301
320,1,0,081301
321,1,0,081301
323,1,0,081301
324,1,0,081301
326,1,0,081301
327,1,0,081301
328,1,0,081301
329,1,0,081301
330,1,0,081301
332,1,0,081301
334,1,0,081301
335,1,0,081301
340,1,0,081301
341,1,0,081301
346,1,0,081301
347,1,0,081301
348,1,0,081301
349,1,0,081301
357,1,0,081301
361,1,0,081301
362,1,0,081301
364,1,0,081301
366,1,0,081301
370,1,0,081301
375,1,0,081301
379,1,0,081301
382,1,0,081301
388,1,0,081301
389,1,0,081301
391,1,0,081301
392,1,0,081301
393,1,0,081301
397,1,0,081301
398,1,0,081301
405,1,0,081301
411,1,0,081301
412,1,0,081301
413,1,0,081301
416,1,0,081301
419,1,0,081301
429,1,0,081301
432,1,0,081301
433,1,0,081301
436,1,0,081301
438,1,0,081301
441,1,0,081301
442,1,0,081301
445,1,0,081301
449,1,0,081301
452,1,0,081301
454,1,0,081301
456,1,0,081301
461,1,0,081301
465,1,0,081301
470,1,0,081301
472,1,0,081301
473,1,0,081301
474,1,0,081301
476,1,0,081301
479,1,0,081301
482,1,0,081301
488,1,0,081301
489,1,0,081301
490,1,0,081301
493,1,0,081301
495,1,0,081301
498,1,0,081301
499,1,0,081301
500,1,0,081301
510,1,0,081301
512,1,0,081301
517,1,0,081301
518,1,0,081301
519,1,0,081301
523,1,0,081301
527,1,0,081301
528,1,0,081301
529,1,0,081301
533,1,0,081301
539,1,0,081301
540,1,0,081301
548,1,0,081301
549,1,0,081301
550,1,0,081301
552,1,0,081301
553,1,0,081301
559,1,0,081301
564,1,0,081301
568,1,0,081301
571,1,0,081301
572,1,0,081301
577,1,0,081301
579,1,0,081301
584,1,0,081301
585,1,0,081301
588,1,0,081301
592,1,0,081301
597,1,0,081301
599,1,0,081301
600,1,0,081301
604,1,0,081301
609,1,0,081301
613,1,0,081301
616,1,0,081301
621,1,0,081301
622,1,0,081301
629,1,0,081301
633,1,0,081301
634,1,0,081301
637,1,0,081301
639,1,0,081301
641,1,0,081301
643,1,0,081301
644,1,0,081301
647,1,0,081301
652,1,0,081301
653,1,0,081301
654,1,0,081301
656,1,0,081301
661,1,0,081301
663,1,0,081301
666,1,0,081301
667,1,0,081301
668,1,0,081301
669,1,0,081301
672,1,0,081301
673,1,0,081301
678,1,0,081301
682,1,0,081301
684,1,0,081301
686,1,0,081301
688,1,0,081301
696,1,0,081301
703,1,0,081301
705,1,0,081301
707,1,0,081301
708,1,0,081301
709,1,0,081301
717,1,0,081301
718,1,0,081301
719,1,0,081301
724,1,0,081301
728,1,0,081301
739,1,0,081301
741,1,0,081301
742,1,0,081301
743,1,0,081301
745,1,0,081301
746,1,0,081301
752,1,0,081301
753,1,0,081301
765,1,0,081301
767,1,0,081301
773,1,0,081301
776,1,0,081301
779,1,0,081301
782,1,0,081301
783,1,0,081301
787,1,0,081301
788,1,0,081301
789,1,0,081301
790,1,0,081301
792,1,0,081301
793,1,0,081301
796,1,0,081301
799,1,0,081301
806,1,0,081301
807,1,0,081301
810,1,0,081301
811,1,0,081301
812,1,0,081301
814,1,0,081301
815,1,0,081301
816,1,0,081301
826,1,0,081301
827,1,0,081301
828,1,0,081301
829,1,0,081301
831,1,0,081301
834,1,0,081301
835,1,0,081301
839,1,0,081301
844,1,0,081301
846,1,0,081301
850,1,0,081301
853,1,0,081301
854,1,0,081301
859,1,0,081301
860,1,0,081301
867,1,0,081301
869,1,0,081301
873,1,0,081301
879,1,0,081301
880,1,0,081301
884,1,0,081301
885,1,0,081301
886,1,0,081301
888,1,0,081301
889,1,0,081301
891,1,0,081301
895,1,0,081301
896,1,0,081301
897,1,0,081301
901,1,0,081301
904,1,0,081301
906,1,0,081301
910,1,0,081301
912,1,0,081301
915,1,0,081301
916,1,0,081301
917,1,0,081301
922,1,0,081301
925,1,0,081301
927,1,0,081301
929,1,0,081301
930,1,0,081301
931,1,0,081301
933,1,0,081301
937,1,0,081301
938,1,0,081301
939,1,0,081301
940,1,0,081301
942,1,0,081301
943,1,0,081301
944,1,0,081301
947,1,0,081301
948,1,0,081301
949,1,0,081301
951,1,0,081301
952,1,0,081301
